TIME,BCMU_A429_In_1_L312_Groundspeed_1,BCMU_A429_In_1_L312_Groundspeed_2,BCMU_A429_In_1_L274_RightMLG_WOW,BCMU_A429_In_1_L274_LeftMLG_WOW,BCMU_A429_OUT_1_L351_PARK_BRK_ON_BCMU,BCMU_A429_Out_1_L70_Left_INBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L71_Right_INBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L72_Left_OUTBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L73_Right_OUTBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L004_Left_INBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L005_Right_INBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L006_Left_OUTBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L007_Right_OUTBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L114_Left_INBD_Brake_Temperature_BCMU,BCMU_A429_Out_1_L115_Right_INBD_Brake_Temperature_BCMU,BCMU_A429_Out_1_L116_Left_OUTBD_Brake_Temperature_BCMU,BCMU_A429_Out_1_L117_Right_OUTBD_Brake_Temperature_BCMU
2020-06-01 10:07:34.812500,0.0,0.015625,0.0,0.0,1.0,3043.0,3040.0,3040.0,3045.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:34.875000,0.0,0.015625,0.0,0.0,1.0,3047.0,3045.0,3040.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:34.906250,0.0,0.015625,0.0,0.0,1.0,3047.0,3045.0,3044.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:34.937500,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3044.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.062500,0.0,0.015625,0.0,0.0,1.0,3045.0,3044.0,3041.0,3042.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.093750,0.0,0.015625,0.0,0.0,1.0,3045.0,3044.0,3041.0,3045.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.125000,0.0,0.015625,0.0,0.0,1.0,3045.0,3044.0,3045.0,3045.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.156250,0.0,0.015625,0.0,0.0,1.0,3044.0,3044.0,3045.0,3045.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.281250,0.0,0.015625,0.0,0.0,1.0,3046.0,3044.0,3038.0,3043.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.406250,0.0,0.015625,0.0,0.0,1.0,3041.0,3041.0,3040.0,3042.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.437500,0.0,0.015625,0.0,0.0,1.0,3041.0,3043.0,3040.0,3042.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.531250,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3038.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.562500,0.0,0.015625,0.0,0.0,1.0,3046.0,3041.0,3038.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.593750,0.0,0.015625,0.0,0.0,1.0,3046.0,3041.0,3038.0,3043.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.687500,0.0,0.015625,0.0,0.0,1.0,3045.0,3044.0,3038.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.718750,0.0,0.015625,0.0,0.0,1.0,3045.0,3044.0,3037.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.750000,0.0,0.015625,0.0,0.0,1.0,3044.0,3037.0,3037.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.781250,0.0,0.015625,0.0,0.0,1.0,3044.0,3037.0,3037.0,3043.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.843750,0.0,0.015625,0.0,0.0,1.0,3044.0,3044.0,3038.0,3043.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.875000,0.0,0.015625,0.0,0.0,1.0,3044.0,3044.0,3038.0,3046.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.906250,0.0,0.015625,0.0,0.0,1.0,3044.0,3044.0,3040.0,3046.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:35.968750,0.0,0.015625,0.0,0.0,1.0,3046.0,3040.0,3040.0,3046.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:36.000000,0.0,0.015625,0.0,0.0,1.0,3046.0,3040.0,3038.0,3042.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:36.125000,0.0,0.015625,0.0,0.0,1.0,3044.0,3043.0,3041.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:36.156250,0.0,0.015625,0.0,0.0,1.0,3043.0,3043.0,3041.0,3044.0,0.0,0.0,0.0,0.0,24.0,22.0,26.0,23.0
2020-06-01 10:07:36.187500,0.0,0.015625,0.0,0.0,1.0,3043.0,3043.0,3041.0,3046.0,0.0,0.0,0.0,0.0,23.0,22.0,26.0,23.0
2020-06-01 10:07:36.218750,0.0,0.015625,0.0,0.0,1.0,3043.0,3043.0,3039.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.250000,0.0,0.015625,0.0,0.0,1.0,3043.0,3043.0,3039.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.375000,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3041.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.406250,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3039.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.437500,0.0,0.015625,0.0,0.0,1.0,3043.0,3041.0,3039.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.468750,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3039.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.500000,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3037.0,3038.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.531250,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3037.0,3038.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.562500,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3037.0,3038.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.593750,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3037.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.625000,0.0,0.015625,0.0,0.0,1.0,3043.0,3045.0,3042.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.656250,0.0,0.015625,0.0,0.0,1.0,3042.0,3045.0,3042.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.781250,0.0,0.015625,0.0,0.0,1.0,3051.0,3043.0,3039.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:36.843750,0.0,0.015625,0.0,0.0,1.0,3051.0,3041.0,3032.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.031250,0.0,0.015625,0.0,0.0,1.0,3045.0,3043.0,3033.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.093750,0.0,0.015625,0.0,0.0,1.0,3044.0,3043.0,3033.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.125000,0.0,0.015625,0.0,0.0,1.0,3044.0,3042.0,3040.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.281250,0.0,0.015625,0.0,0.0,1.0,3043.0,3043.0,3039.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.406250,0.0,0.015625,0.0,0.0,1.0,3044.0,3040.0,3040.0,3036.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.468750,0.0,0.015625,0.0,0.0,1.0,3050.0,3042.0,3040.0,3036.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.500000,0.0,0.015625,0.0,0.0,1.0,3050.0,3042.0,3045.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.562500,0.0,0.015625,0.0,0.0,1.0,3044.0,3045.0,3045.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.625000,0.0,0.015625,0.0,0.0,1.0,3044.0,3040.0,3040.0,3048.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.687500,0.0,0.015625,0.0,0.0,1.0,3043.0,3040.0,3040.0,3041.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.750000,0.0,0.015625,0.0,0.0,1.0,3052.0,3042.0,3041.0,3041.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.781250,0.0,0.015625,0.0,0.0,1.0,3052.0,3042.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:37.812500,0.0,0.015625,0.0,0.0,1.0,3052.0,3042.0,3044.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.062500,0.0,0.015625,0.0,0.0,1.0,3037.0,3038.0,3040.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.125000,0.0,0.015625,0.0,0.0,1.0,3037.0,3042.0,3039.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.218750,0.0,0.015625,0.0,0.0,1.0,3037.0,3042.0,3039.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.281250,0.0,0.015625,0.0,0.0,1.0,3046.0,3045.0,3039.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.312500,0.0,0.015625,0.0,0.0,1.0,3046.0,3045.0,3039.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.468750,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3041.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.593750,0.0,0.015625,0.0,0.0,1.0,3043.0,3047.0,3040.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.718750,0.0,0.015625,0.0,0.0,1.0,3043.0,3041.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.750000,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.781250,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3040.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.906250,0.0,0.015625,0.0,0.0,1.0,3043.0,3039.0,3042.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:38.968750,0.0,0.015625,0.0,0.0,1.0,3045.0,3043.0,3042.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.031250,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3040.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.125000,0.0,0.015625,0.0,0.0,1.0,3043.0,3043.0,3038.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.187500,0.0,0.015625,0.0,0.0,1.0,3041.0,3043.0,3038.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.218750,0.0,0.015625,0.0,0.0,1.0,3041.0,3043.0,3039.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.250000,0.0,0.015625,0.0,0.0,1.0,3044.0,3042.0,3039.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.281250,0.0,0.015625,0.0,0.0,1.0,3044.0,3042.0,3039.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.343750,0.0,0.015625,0.0,0.0,1.0,3044.0,3042.0,3039.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.406250,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.437500,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.500000,0.0,0.015625,0.0,0.0,1.0,3048.0,3041.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.531250,0.0,0.015625,0.0,0.0,1.0,3048.0,3045.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.562500,0.0,0.015625,0.0,0.0,1.0,3044.0,3045.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.593750,0.0,0.015625,0.0,0.0,1.0,3044.0,3045.0,3040.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.625000,0.0,0.015625,0.0,0.0,1.0,3044.0,3040.0,3040.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.687500,0.0,0.015625,0.0,0.0,1.0,3045.0,3040.0,3040.0,3039.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.718750,0.0,0.015625,0.0,0.0,1.0,3045.0,3040.0,3039.0,3039.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.781250,0.0,0.015625,0.0,0.0,1.0,3046.0,3043.0,3039.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:39.843750,0.0,0.015625,0.0,0.0,1.0,3046.0,3045.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:40.062500,0.0,0.015625,0.0,0.0,1.0,3044.0,3042.0,3042.0,3038.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:40.093750,0.0,0.015625,0.0,0.0,1.0,3044.0,3042.0,3042.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,23.0
2020-06-01 10:07:40.187500,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3041.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,23.0
2020-06-01 10:07:40.250000,0.0,0.015625,0.0,0.0,1.0,3043.0,3043.0,3041.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.343750,0.0,0.015625,0.0,0.0,1.0,3043.0,3041.0,3039.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.406250,0.0,0.015625,0.0,0.0,1.0,3044.0,3041.0,3038.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.437500,0.0,0.015625,0.0,0.0,1.0,3044.0,3046.0,3038.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.500000,0.0,0.015625,0.0,0.0,1.0,3043.0,3046.0,3039.0,3043.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.531250,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3039.0,3043.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.625000,0.0,0.015625,0.0,0.0,1.0,3042.0,3042.0,3037.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.687500,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3037.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.718750,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3042.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.750000,0.0,0.015625,0.0,0.0,1.0,3040.0,3045.0,3042.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.781250,0.0,0.015625,0.0,0.0,1.0,3040.0,3045.0,3042.0,3045.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.843750,0.0,0.015625,0.0,0.0,1.0,3040.0,3043.0,3038.0,3045.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.875000,0.0,0.015625,0.0,0.0,1.0,3046.0,3043.0,3038.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:40.937500,0.0,0.015625,0.0,0.0,1.0,3046.0,3044.0,3040.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.000000,0.0,0.015625,0.0,0.0,1.0,3044.0,3044.0,3040.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.156250,0.0,0.015625,0.0,0.0,1.0,3045.0,3037.0,3041.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.187500,0.0,0.015625,0.0,0.0,1.0,3045.0,3037.0,3041.0,3041.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.218750,0.0,0.015625,0.0,0.0,1.0,3045.0,3037.0,3042.0,3041.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.250000,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3042.0,3041.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.312500,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3040.0,3041.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.375000,0.0,0.015625,0.0,0.0,1.0,3046.0,3044.0,3040.0,3047.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.406250,0.0,0.015625,0.0,0.0,1.0,3046.0,3044.0,3040.0,3047.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.468750,0.0,0.015625,0.0,0.0,1.0,3048.0,3041.0,3040.0,3047.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.500000,0.0,0.015625,0.0,0.0,1.0,3048.0,3041.0,3040.0,3045.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.562500,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3040.0,3045.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.687500,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3043.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.718750,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3045.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.781250,0.0,0.015625,0.0,0.0,1.0,3042.0,3045.0,3045.0,3041.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.843750,0.0,0.015625,0.0,0.0,1.0,3042.0,3045.0,3041.0,3041.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:41.937500,0.0,0.015625,0.0,0.0,1.0,3049.0,3037.0,3041.0,3044.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:42.031250,0.0,0.015625,0.0,0.0,1.0,3048.0,3041.0,3040.0,3045.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:42.093750,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3040.0,3042.0,0.0,0.0,0.0,0.0,22.0,23.0,26.0,24.0
2020-06-01 10:07:42.187500,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,26.0,24.0
2020-06-01 10:07:42.250000,0.0,0.015625,0.0,0.0,1.0,3045.0,3040.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:42.468750,0.0,0.015625,0.0,0.0,1.0,3046.0,3042.0,3042.0,3040.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:42.500000,0.0,0.015625,0.0,0.0,1.0,3046.0,3042.0,3039.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:42.562500,0.0,0.015625,0.0,0.0,1.0,3048.0,3044.0,3039.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:42.593750,0.0,0.015625,0.0,0.0,1.0,3048.0,3044.0,3039.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
